model,layer,n_pos,n_neg,pos_neg_ratio_used,silhouette_pca10,centroid_l2_hidden,centroid_cosine_dist_hidden,fisher_ratio_hidden,linear_probe_auc_pca20,linear_probe_acc_pca20,kmeans_ari_pca20,kmeans_nmi_pca20
apertus,4,30000.0,30000.0,1.0,0.027785,6.96091,0.001167,51.634626,0.847235,0.773056,0.010044,0.00727
apertus,10,30000.0,30000.0,1.0,0.050628,60.554287,0.007587,101.555378,0.883875,0.804444,0.004038,0.003126
apertus,16,30000.0,30000.0,1.0,0.068458,359.963135,0.017713,124.007178,0.882948,0.810389,0.215933,0.164322
apertus,20,30000.0,30000.0,1.0,0.062924,807.219238,0.015108,90.454609,0.882949,0.805889,0.182714,0.136818
apertus,24,30000.0,30000.0,1.0,0.07517,1957.342163,0.0083,133.135047,0.867817,0.794167,0.081575,0.09162
apertus,26,30000.0,30000.0,1.0,0.077452,2513.031738,0.007442,141.31717,0.864106,0.788889,0.07622,0.086207
apertus,28,30000.0,30000.0,1.0,0.071655,3102.258301,0.006754,138.026321,0.864774,0.7905,0.097978,0.098888
apertus,30,30000.0,30000.0,1.0,0.079076,4566.378418,0.011487,169.63574,0.85618,0.784,0.074736,0.079042
llama,4,30000.0,30000.0,1.0,0.039833,0.550055,0.041147,52.189599,0.860388,0.780222,0.029066,0.021836
llama,10,30000.0,30000.0,1.0,0.046509,1.116571,0.049757,61.441534,0.884164,0.810611,0.152893,0.114467
llama,16,30000.0,30000.0,1.0,0.051183,1.910677,0.054243,65.578954,0.888672,0.814111,0.122229,0.092787
llama,20,30000.0,30000.0,1.0,0.052317,2.73239,0.058177,60.838476,0.881289,0.806389,0.040681,0.030825
llama,24,30000.0,30000.0,1.0,0.054845,4.205286,0.040536,69.869934,0.873833,0.8035,0.030891,0.025822
llama,26,30000.0,30000.0,1.0,0.054691,5.136626,0.032821,76.684798,0.875293,0.799056,0.035669,0.029749
llama,28,30000.0,30000.0,1.0,0.051397,6.00909,0.026035,74.556515,0.866394,0.787167,0.036454,0.029853
llama,30,30000.0,30000.0,1.0,0.044381,6.553996,0.025124,57.550653,0.865732,0.788611,0.035706,0.027357
