model,layer,n_pos,n_neg,pos_neg_ratio_used,silhouette_pca10,centroid_l2_hidden,centroid_cosine_dist_hidden,fisher_ratio_hidden,linear_probe_auc_pca20,linear_probe_acc_pca20,kmeans_ari_pca20,kmeans_nmi_pca20
apertus,4,30000.0,30000.0,1.0,0.027841702103614807,6.958617210388184,0.0011660793536643066,51.642942264875074,0.8468446296296297,0.7721666666666667,0.010428349427598035,0.007549137103130432
apertus,10,30000.0,30000.0,1.0,0.050646115094423294,60.53725051879883,0.0075867576163495265,101.52677563895075,0.8838841111111111,0.8046111111111112,0.003957437315894303,0.003077281056454082
apertus,16,30000.0,30000.0,1.0,0.06842422485351562,359.71826171875,0.017699203390195595,123.89744778823733,0.8829528148148148,0.81,0.21556153504758344,0.1640102459294531
apertus,20,30000.0,30000.0,1.0,0.06291089951992035,806.7515869140625,0.015091532765604376,90.42554796526437,0.8830574691358025,0.8065,0.18302778230620467,0.13697693024195032
apertus,24,30000.0,30000.0,1.0,0.07509597390890121,1954.978271484375,0.008289987105310703,132.90051389402882,0.8675499629629629,0.7935555555555556,0.08013426998307448,0.09106780471669002
apertus,26,30000.0,30000.0,1.0,0.0773700699210167,2509.62744140625,0.007438191626330304,141.00604533922578,0.8640233086419753,0.7895,0.0743903142423254,0.08498911687692204
apertus,28,30000.0,30000.0,1.0,0.07155726104974747,3094.614013671875,0.006724376195105686,137.53471950838662,0.8644731975308642,0.7905,0.0978525618876475,0.0985493087996473
apertus,30,30000.0,30000.0,1.0,0.07903608679771423,4555.916015625,0.011432976137889517,169.17972234259454,0.856586901234568,0.7836666666666666,0.07460809450359389,0.0790114868847978
llama,4,30000.0,30000.0,1.0,0.03982355818152428,0.5500242114067078,0.041144309148252844,52.18361800026495,0.8603857777777778,0.7800555555555555,0.028974914667486557,0.021681421794588273
llama,10,30000.0,30000.0,1.0,0.04650744050741196,1.1166441440582275,0.04973832199024475,61.44524311863747,0.8841706172839505,0.8106666666666666,0.15273666420884804,0.11429014425100732
llama,16,30000.0,30000.0,1.0,0.0511801578104496,1.9107015132904053,0.054220847016027696,65.57674436509429,0.8886061975308641,0.8148888888888889,0.12143787247383649,0.09192621359625905
llama,20,30000.0,30000.0,1.0,0.05230691656470299,2.7324047088623047,0.05815912224873321,60.83611127974631,0.881353037037037,0.8061666666666667,0.04068083034587077,0.03084746464315908
llama,24,30000.0,30000.0,1.0,0.0548313744366169,4.205191612243652,0.04052708318973741,69.86623926737303,0.8738005679012345,0.8029444444444445,0.03116119765632629,0.026018732817777356
llama,26,30000.0,30000.0,1.0,0.05469155311584473,5.137144088745117,0.03281296576829251,76.70141306257331,0.8751953456790124,0.7987777777777778,0.03569385604285199,0.0297725834158819
llama,28,30000.0,30000.0,1.0,0.05140186473727226,6.010066509246826,0.026030825520383827,74.58203886560888,0.8664329135802469,0.7872222222222223,0.03669581608896231,0.030000231814497683
llama,30,30000.0,30000.0,1.0,0.04439305141568184,6.555243492126465,0.025117971326282684,57.57485461614151,0.8657270987654321,0.7884444444444444,0.03549169452118431,0.027286260558134615
