model,layer,label,norm_mean,norm_std,norm_p90,n_tokens
apertus,4,hallucinated,140.71441650390625,18.456830978393555,164.43159790039067,30000
apertus,4,supported,142.83680725097656,17.851057052612305,164.24187927246092,30000
apertus,10,hallucinated,551.2329711914062,80.51558685302734,658.6685485839844,30000
apertus,10,supported,553.2091064453125,76.4073486328125,652.0501220703125,30000
apertus,16,hallucinated,2232.647705078125,227.45716857910156,2520.8625976562503,30000
apertus,16,supported,2308.528076171875,208.9336700439453,2561.864428710938,30000
apertus,20,hallucinated,5850.65234375,779.4866333007812,6868.1494140625,30000
apertus,20,supported,5816.890625,659.8500366210938,6646.557031249999,30000
apertus,24,hallucinated,12556.71484375,1470.4674072265625,14596.269140625001,30000
apertus,24,supported,13132.7314453125,1364.9957275390625,14903.769726562501,30000
apertus,26,hallucinated,15663.779296875,1794.533935546875,18002.1509765625,30000
apertus,26,supported,16411.673828125,1626.4254150390625,18388.5349609375,30000
apertus,28,hallucinated,20994.33984375,2573.681396484375,24272.4609375,30000
apertus,28,supported,21789.580078125,2371.934326171875,24599.3353515625,30000
apertus,30,hallucinated,26359.177734375,2662.600341796875,29118.98046875,30000
apertus,30,supported,26757.86328125,2042.6121826171875,28720.2744140625,30000
llama,4,hallucinated,3.8821890354156494,0.3680853545665741,4.346185922622681,30000
llama,4,supported,3.9032204151153564,0.38321158289909363,4.3986695289611815,30000
llama,10,hallucinated,7.212222099304199,0.6125210523605347,7.989590358734131,30000
llama,10,supported,7.344280242919922,0.6174468994140625,8.117305850982666,30000
llama,16,hallucinated,11.686477661132812,1.1449733972549438,13.14131317138672,30000
llama,16,supported,12.258859634399414,1.2144602537155151,13.735362815856936,30000
llama,20,hallucinated,16.876190185546875,1.7817944288253784,19.074948883056642,30000
llama,20,supported,17.87090301513672,1.9270803928375244,20.218645095825195,30000
llama,24,hallucinated,24.370651245117188,3.3796706199645996,28.810988616943362,30000
llama,24,supported,26.644691467285156,3.6915252208709717,31.325520706176757,30000
llama,26,hallucinated,29.112667083740234,4.134999752044678,34.477886581420904,30000
llama,26,supported,31.74191665649414,4.5486578941345215,37.503888320922854,30000
llama,28,hallucinated,35.6646842956543,4.711007118225098,41.70861625671387,30000
llama,28,supported,38.57265090942383,4.942815780639648,44.70952606201172,30000
llama,30,hallucinated,44.7863655090332,5.312084197998047,50.984752655029304,30000
llama,30,supported,47.375,4.508036136627197,52.503068923950195,30000
