run_id,probe_id,model,layer,seed,final_loss
f1osa4x3,apertus_no_lora_long_form_layer4_seed42,apertus,4,42,0.301313579082489
k9210t28,apertus_no_lora_long_form_layer4_seed43,apertus,4,43,0.24820169806480408
4dw0ohsb,apertus_no_lora_long_form_layer4_seed44,apertus,4,44,0.14847032725811005
2msk68xv,apertus_no_lora_long_form_layer10_seed42,apertus,10,42,0.1188635155558586
ennpfi5c,apertus_no_lora_long_form_layer10_seed43,apertus,10,43,0.2892115116119385
ckfvtpqq,apertus_no_lora_long_form_layer10_seed44,apertus,10,44,0.14164792001247406
98q6shel,apertus_no_lora_long_form_layer16_seed42,apertus,16,42,0.06563707441091537
92fyxrb6,apertus_no_lora_long_form_layer16_seed43,apertus,16,43,0.40841183066368103
i19xd1q5,apertus_no_lora_long_form_layer16_seed44,apertus,16,44,0.26565003395080566
5w54hojz,apertus_no_lora_long_form_layer20_seed42,apertus,20,42,0.002515794476494193
h3qhm4bp,apertus_no_lora_long_form_layer20_seed43,apertus,20,43,0.4361111521720886
1sb6t3rt,apertus_no_lora_long_form_layer20_seed44,apertus,20,44,0.9805268049240112
rjgl9oec,apertus_no_lora_long_form_layer24_seed42,apertus,24,42,0.0074127716943621635
g0y68jcb,apertus_no_lora_long_form_layer24_seed43,apertus,24,43,0.802904486656189
p8vm93b7,apertus_no_lora_long_form_layer24_seed44,apertus,24,44,1.4770123958587646
fjxaywoo,apertus_no_lora_long_form_layer26_seed42,apertus,26,42,0.022064460441470143
fc3llcx0,apertus_no_lora_long_form_layer26_seed43,apertus,26,43,4.096796035766602
gtn6g9ne,apertus_no_lora_long_form_layer26_seed44,apertus,26,44,0.0003512128023430705
xowhpuzx,apertus_no_lora_long_form_layer28_seed42,apertus,28,42,0.027778860181570053
e75d9qzf,apertus_no_lora_long_form_layer28_seed43,apertus,28,43,9.128880500793455
ha39x6u6,apertus_no_lora_long_form_layer28_seed44,apertus,28,44,9.188133239746094
pk12wkry,apertus_no_lora_long_form_layer30_seed42,apertus,30,42,82.0517578125
vhvivjkc,apertus_no_lora_long_form_layer30_seed43,apertus,30,43,10.69191074371338
agskbmvs,apertus_no_lora_long_form_layer30_seed44,apertus,30,44,0.0001453680742997676
dxwgjkjh,llama_no_lora_long_form_layer4_seed42,llama,4,42,0.4904392957687378
e5f00gcl,llama_no_lora_long_form_layer4_seed43,llama,4,43,0.7738803029060364
cfx6hhoc,llama_no_lora_long_form_layer4_seed44,llama,4,44,0.4791973531246186
kgoq3e5r,llama_no_lora_long_form_layer10_seed42,llama,10,42,0.4103353917598725
9oem35be,llama_no_lora_long_form_layer10_seed43,llama,10,43,0.582381546497345
rri8v027,llama_no_lora_long_form_layer10_seed44,llama,10,44,0.3619125485420227
egoe6db0,llama_no_lora_long_form_layer16_seed42,llama,16,42,0.4122848212718963
x0f4o57o,llama_no_lora_long_form_layer16_seed43,llama,16,43,0.5862885117530823
wflhsqs9,llama_no_lora_long_form_layer16_seed44,llama,16,44,0.3619725704193115
qni919ee,llama_no_lora_long_form_layer20_seed42,llama,20,42,0.4025150239467621
4aryhr4u,llama_no_lora_long_form_layer20_seed43,llama,20,43,0.6214630007743835
v8qejznt,llama_no_lora_long_form_layer20_seed44,llama,20,44,0.4049457013607025
k5b7gy5e,llama_no_lora_long_form_layer24_seed42,llama,24,42,0.3927442729473114
jg69cqpj,llama_no_lora_long_form_layer24_seed43,llama,24,43,0.6449342966079712
5o6iy05l,llama_no_lora_long_form_layer24_seed44,llama,24,44,0.3951850831508637
82vjeyys,llama_no_lora_long_form_layer26_seed42,llama,26,42,0.38688111305236816
gzg4irhz,llama_no_lora_long_form_layer26_seed43,llama,26,43,0.6332159042358398
7u7entue,llama_no_lora_long_form_layer26_seed44,llama,26,44,0.4069174230098725
5zoj6oqm,llama_no_lora_long_form_layer28_seed42,llama,28,42,0.375164270401001
22zq4z08,llama_no_lora_long_form_layer28_seed43,llama,28,43,0.6801114678382874
pbg44l09,llama_no_lora_long_form_layer28_seed44,llama,28,44,0.4108438789844513
ct7o6ek7,llama_no_lora_long_form_layer30_seed42,llama,30,42,0.4142408668994904
av9rm02w,llama_no_lora_long_form_layer30_seed43,llama,30,43,0.7231071591377258
ojujrfsw,llama_no_lora_long_form_layer30_seed44,llama,30,44,0.4089251160621643
