run_id,probe_id,state,created_at,train_model,variant,layer,seed,lr,probe_dtype,normalize_before_head,final_loss,metric_key,value,test_model,metric_family,metric
2msk68xv,apertus_no_lora_long_form_layer10_seed42,finished,2026-03-02 14:54:28+00:00,apertus,apertus_layers,10,42,,bfloat16,none,0.1188635155558586,train/longfact_test_apertus/all_auc,0.8349790136283437,apertus,all,auc
ennpfi5c,apertus_no_lora_long_form_layer10_seed43,finished,2026-03-02 14:55:28+00:00,apertus,apertus_layers,10,43,,bfloat16,none,0.2892115116119385,train/longfact_test_apertus/all_auc,0.8300675186115706,apertus,all,auc
ckfvtpqq,apertus_no_lora_long_form_layer10_seed44,finished,2026-03-02 14:55:28+00:00,apertus,apertus_layers,10,44,,bfloat16,none,0.14164792001247406,train/longfact_test_apertus/all_auc,0.8233641459041334,apertus,all,auc
5w54hojz,apertus_no_lora_long_form_layer20_seed42,finished,2026-03-02 14:56:24+00:00,apertus,apertus_layers,20,42,,bfloat16,none,0.002515794476494193,train/longfact_test_apertus/all_auc,0.7216130788305651,apertus,all,auc
h3qhm4bp,apertus_no_lora_long_form_layer20_seed43,finished,2026-03-02 14:56:24+00:00,apertus,apertus_layers,20,43,,bfloat16,none,0.4361111521720886,train/longfact_test_apertus/all_auc,0.7325044196056973,apertus,all,auc
1sb6t3rt,apertus_no_lora_long_form_layer20_seed44,finished,2026-03-02 14:56:24+00:00,apertus,apertus_layers,20,44,,bfloat16,none,0.9805268049240112,train/longfact_test_apertus/all_auc,0.7097785804895088,apertus,all,auc
fjxaywoo,apertus_no_lora_long_form_layer26_seed42,finished,2026-03-02 14:56:59+00:00,apertus,apertus_layers,26,42,,bfloat16,none,0.022064460441470143,train/longfact_test_apertus/all_auc,0.6670177726305941,apertus,all,auc
fc3llcx0,apertus_no_lora_long_form_layer26_seed43,finished,2026-03-02 14:58:28+00:00,apertus,apertus_layers,26,43,,bfloat16,none,4.096796035766602,train/longfact_test_apertus/all_auc,0.6698936929266394,apertus,all,auc
gtn6g9ne,apertus_no_lora_long_form_layer26_seed44,finished,2026-03-02 14:58:28+00:00,apertus,apertus_layers,26,44,,bfloat16,none,0.0003512128023430705,train/longfact_test_apertus/all_auc,0.6678283342388164,apertus,all,auc
pk12wkry,apertus_no_lora_long_form_layer30_seed42,finished,2026-03-02 14:58:28+00:00,apertus,apertus_layers,30,42,,bfloat16,none,82.0517578125,train/longfact_test_apertus/all_auc,0.5000533691196455,apertus,all,auc
